competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
whole_home,test_utility_1,test_utility_1,single_family,15,2500.0,750.0000193583381,1499.999961283796,250.00001935786565,0.0,1395.4300349478315,104.56992633596445,0.0,0.0,654.3334090691653,95.66661028917281,0.0,0.0,212.62370684687568,37.37631251098996,0.0
whole_home,test_utility_1,test_utility_1,single_family,16,2500.0,750.0000064528581,1499.9999870943625,250.0000064527794,0.0,1412.858381814392,87.14160527997038,0.0,0.0,670.0695000079378,79.9305064449203,0.0,0.0,218.74891375831626,31.251092694463114,0.0
whole_home,test_utility_1,test_utility_1,single_family,17,2500.0,750.0000021509657,1499.9999956980814,250.0000021509527,0.0,1427.3819912981062,72.61800439997532,0.0,0.0,683.2551370602894,66.74486509067633,0.0,0.0,223.88937004561205,26.11063210534063,0.0
whole_home,test_utility_1,test_utility_1,single_family,18,2500.0,750.0000007169906,1499.9999985660208,250.00000071698855,0.0,1439.4849948993747,60.5150036666461,0.0,0.0,694.2903547910862,55.70964592590442,0.0,0.0,228.19667812070094,21.8033225962876,0.0
whole_home,test_utility_1,test_utility_1,single_family,19,2500.0,750.0000002389972,1499.999999522006,250.0000002389969,0.0,1449.5708297998008,50.42916972220509,0.0,0.0,703.5171976229653,46.482802616031904,0.0,0.0,231.80151590320145,18.198484335795442,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,0,124.99999999999997,40.27777777777777,80.55555555555554,4.166666666666667,0.0,0.0,80.55555555555554,0.0,0.0,0.0,40.27777777777777,0.0,0.0,0.0,4.166666666666667,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,1,124.99999999999999,40.27777777777777,71.29629629629629,13.425925925925924,0.0,4.166666666666667,67.12962962962962,0.0,0.0,0.537037037037037,39.74074074074073,0.0,0.0,0.2685185185185185,13.157407407407405,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,2,124.99999999999997,38.73456790123456,72.83950617283949,13.425925925925924,0.0,16.898148148148145,55.941358024691354,0.0,0.0,1.5823456790123456,37.152222222222214,0.0,0.0,0.4439506172839505,12.981975308641973,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,3,124.99999999999997,37.962962962962955,74.12551440329217,12.911522633744852,0.0,27.50771604938271,46.617798353909464,0.0,0.0,4.366618106995884,33.59634485596707,0.0,0.0,0.7751300411522632,12.136392592592589,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,4,124.99999999999997,37.66289437585733,74.68278463648834,12.654320987654318,0.0,35.83461934156378,38.848165294924556,0.0,0.0,7.943649344307269,29.71924503155006,0.0,0.0,1.6795150013717417,10.974805986282576,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,5,125.0,37.555727023319605,74.88997485139461,12.554298125285776,0.0,42.516503772290804,32.3734710791038,0.0,0.0,11.664459386886143,25.89126763643346,0.0,0.0,2.846011414979423,9.708286710306352,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,6,125.0,37.51881382411217,74.96261050144795,12.518575674439868,0.0,47.98471793552812,26.977892565919834,0.0,0.0,15.207607121791675,22.311206702320494,0.0,0.0,4.060761579871604,8.457814094568263,0.0
